Provincia,Ratio_Keiko_Castillo
CHACHAPOYAS,0.6683045115180908
BAGUA,0.41454965357967666
BONGARA,0.6220444232147122
LUYA,0.621926066952245
RODRIGUEZ DE MENDOZA,0.6892180243504455
CONDORCANQUI,0.10310895607529949
UTCUBAMBA,0.5260536398467432
HUARAZ,0.5661629255645767
AIJA,0.607741935483871
BOLOGNESI,0.5193758127438232
CARHUAZ,0.4573771364677067
CASMA,1.3723516949152543
CORONGO,0.671573137074517
HUAYLAS,1.060697247706422
HUARI,0.24615272142413278
MARISCAL LUZURIAGA,0.19420255278539902
PALLASCA,0.3696148168031137
POMABAMBA,0.2788875400066218
RECUAY,0.3644415917843389
SANTA,1.0465242336302079
SIHUAS,0.3581545511351802
YUNGAY,0.4717076884039584
ANTONIO RAIMONDI,0.15585443037974683
CARLOS FERMIN FITZCARRALD,0.262612194367069
ASUNCION,0.2891608391608392
HUARMEY,1.2108647159165464
OCROS,1.0529841656516443
ABANCAY,0.3471464249375636
AYMARAES,0.25103398669304083
ANDAHUAYLAS,0.20737686139747996
ANTABAMBA,0.1897018970189702
COTABAMBAS,0.09702157134375619
GRAU,0.1520148407708956
CHINCHEROS,0.19897933404072557
AREQUIPA,0.5886095199472804
CAYLLOMA,0.1612449071012607
CAMANA,0.6884061484750036
CARAVELI,1.1201614818332937
CASTILLA,0.31796875
CONDESUYOS,0.2194998310239946
ISLAY,0.40345355915358816
LA UNION,0.16358490566037737
HUAMANGA,0.21508103758764704
CANGALLO,0.12247500167773975
HUANTA,0.20367473553039744
LA MAR,0.17367998716096936
LUCANAS,0.37396434848104443
PARINACOCHAS,0.22170283806343907
VICTOR FAJARDO,0.11080617495711835
HUANCA SANCOS,0.13273287508888362
VILCAS HUAMAN,0.17404561531894133
PAUCAR DEL SARA SARA,0.3700426089806621
SUCRE,0.30394160583941604
CAJAMARCA,0.6947754273616433
CAJABAMBA,0.7951866137882327
CELENDIN,0.2391851898495057
CONTUMAZA,0.6437294504462189
CUTERVO,0.36801586926746327
CHOTA,0.16390995402161582
HUALGAYOC,0.10617654771269876
JAEN,0.42891698735568995
SANTA CRUZ,0.3927163237508065
SAN MIGUEL,0.40683229813664595
SAN IGNACIO,0.26752204386163236
SAN MARCOS,0.35843373493975905
SAN PABLO,0.26510581740108374
CUSCO,0.39755913624438377
ACOMAYO,0.07528667457493081
ANTA,0.13356591876580354
CALCA,0.14170123870891813
CANAS,0.04561704561704562
CANCHIS,0.09030484029573516
CHUMBIVILCAS,0.03671549522913587
ESPINAR,0.08445376815740123
LA CONVENCION,0.18254677187236365
PARURO,0.08562317660628266
PAUCARTAMBO,0.08126391505394759
QUISPICANCHI,0.11362991730848952
URUBAMBA,0.1552706956694365
HUANCAVELICA,0.13459374680350505
ACOBAMBA,0.14779643231899264
ANGARAES,0.12643729587043084
CASTROVIRREYNA,0.4782047142395867
TAYACAJA,0.18737767836718094
HUAYTARA,0.4825834542815675
CHURCAMPA,0.18754988028731046
HUANUCO,0.563700470449574
AMBO,0.47772004408754526
DOS DE MAYO,0.23892100192678228
HUAMALIES,0.20959317648186304
MARAÑON,0.4439911411586432
LEONCIO PRADO,0.839671682626539
PACHITEA,0.223046875
PUERTO INCA,0.6230355220667384
HUACAYBAMBA,0.20190610660077657
LAURICOCHA,0.16756878664862426
YAROWILCA,0.10150913423351866
ICA,1.1269776799629732
CHINCHA,1.1374796761319779
NASCA,1.0376981150942453
PISCO,1.0422555249928862
PALPA,0.9940706955530216
HUANCAYO,0.6609567188723977
CONCEPCION,0.7603576101177497
JAUJA,0.9410857745678812
JUNIN,0.4679827891672994
TARMA,0.9432162151806582
YAULI,0.4825303986455287
SATIPO,0.7983921645106069
CHANCHAMAYO,0.8721607122474604
CHUPACA,0.4682792099096083
TRUJILLO,1.9738840300764602
BOLIVAR,0.6294718909710392
SANCHEZ CARRION,0.9640442804428044
OTUZCO,0.9036741494212557
PACASMAYO,1.3401658318952818
PATAZ,0.7262353075430789
SANTIAGO DE CHUCO,0.7775073746312684
ASCOPE,1.5004035216434337
CHEPEN,1.2978227446312554
JULCAN,0.7859714318894437
GRAN CHIMU,2.1461447212336893
VIRU,0.778221311180638
CHICLAYO,1.4803133536374768
FERREÑAFE,0.9478664053075995
LAMBAYEQUE,1.3191430392727475
LIMA,1.9180716551884238
CAJATAMBO,1.2171189979123174
CANTA,0.9217826284674853
CAÑETE,1.2069837813605726
HUAURA,1.155192923082078
HUAROCHIRI,0.8827611066053889
YAUYOS,0.6868541530412035
HUARAL,1.2992243499463982
BARRANCA,1.2662656889401553
OYON,0.8062910160669835
MAYNAS,1.2412949351481033
ALTO AMAZONAS,0.4476825465103775
LORETO,1.2223729426659433
REQUENA,1.8
UCAYALI,0.7369900478614297
MARISCAL RAMON CASTILLA,2.4747245625405054
DATEM DEL MARAÑON,0.4871108135252762
PUTUMAYO,1.9345454545454546
TAMBOPATA,0.41494620529223614
MANU,0.2643328259766616
TAHUAMANU,0.5501802884615384
MARISCAL NIETO,0.27251884941738164
GENERAL SANCHEZ CERRO,0.18167938931297709
ILO,0.5475931600276762
PASCO,0.32274479870040906
DANIEL ALCIDES CARRION,0.16629386810644042
OXAPAMPA,1.3449688713882828
PIURA,1.7961920584814752
AYABACA,0.3649717211247219
HUANCABAMBA,0.4503789444674108
MORROPON,1.3535213114754099
PAITA,1.39153816019089
SULLANA,2.530985775390431
TALARA,1.2877778469584709
SECHURA,1.544172874469002
PUNO,0.1741174347151917
AZANGARO,0.04778819490294467
CARABAYA,0.1155405179055978
CHUCUITO,0.0673224858967784
HUANCANE,0.05392253244199764
LAMPA,0.09433319453382291
MELGAR,0.07136653895274585
SANDIA,0.11773590333716916
SAN ROMAN,0.19681656072749287
YUNGUYO,0.0882491741387447
SAN ANTONIO DE PUTINA,0.07239583333333334
EL COLLAO,0.055717574827321564
MOHO,0.05606071454141906
MOYOBAMBA,0.7452630435962865
HUALLAGA,0.7111979484674563
LAMAS,0.832547776159054
MARISCAL CACERES,0.7926074397217473
RIOJA,0.6409716719492868
SAN MARTIN,1.1435468557461164
BELLAVISTA,0.5678521291530183
TOCACHE,0.5033793130706297
PICOTA,0.8508529650690495
EL DORADO,0.6283170541965598
TACNA,0.3971858485961077
TARATA,0.16921534219102533
JORGE BASADRE,0.2109860248447205
CANDARAVE,0.10738255033557047
TUMBES,1.70036525329522
CONTRALMIRANTE VILLAR,2.662551440329218
ZARUMILLA,2.6564516129032256
CALLAO,2.069792396084694
CORONEL PORTILLO,1.2223887608778328
PADRE ABAD,0.4468140555097077
ATALAYA,1.1602509955351756
PURUS,2.856368563685637
